unique_values,counts
FUGA,3915
BAJO NIVEL,3175
CHEQUEO,2148
BAJA PRESION,1725
DESGASTE,1472
FALLA FUNCIONAL,1466
FUERA DE AJUSTE,1209
DEFECTUOSO,814
ALTA TEMPERATURA,673
PM-NORMALIZAR,660
ROTURA,645
FALLA VALVULA,485
SOLTURA,452
FALLA CONEXION/AISLAMIENTO,387
TRASPASO,342
BAJA POTENCIA,338
SIN PARTIDA,334
PINCHADO,314
FALLA COMPONENTE,304
CORTO CIRCUITO,294
FALLA ESTRUCTURAL,277
FILTRO SATURADO,258
PM-CAMBIO,253
CONTAMINADO,253
ALARMA,252
AJUSTE DEFICIENTE,242
FALLA ELECTRICA,223
PM-ROTACION,197
SIN TAPA,194
EXTENSION PM,184
FALLA BOMBA,178
DESGASTADO,177
CORTE,168
BAJO VOLTAJE,154
PERNO CORTADO,149
FALLA SWITCH,149
ALTO NIVEL,140
COMPONENTE FALTANTE,130
ALTA PRESION,130
CORTADO,129
CODIGO ACTIVO,129
PM-CHEQUEO,128
FALLA PASADOR,122
FALLA SENSOR,122
DAÑADO,121
SATURADO,119
FALLA SELLO,113
ACC-INCIDENTE,113
ERROR DE FUNCIONAMIENTO,109
DESCALIBRADO,104
FALLA SENSOR DE PRESION,103
FALLA SENSOR DE NIVEL,99
SOLTURA PERNO,98
FALLA FILTRO,95
SONIDO ANORMAL,95
DESCARGADO,95
ACC-IMPACTADO,93
TRABADO,92
FALLA SENSOR TEMPERATURA,91
FALLA DE HERMETICIDAD,90
IMPACTADO,88
GOLPEADO,87
FALLA CINTURON DE SEGURIDAD,85
JUEGO EXCESIVO,85
FUGA SELLO ESPEJO,78
MONCON,78
SIN MARCHAS,74
FALTA DE PERNO,72
OP-REMOLQUE,69
DESCONFIGURADO,67
FALLA COMUNICACION,64
CIRCUITO ABIERTO,63
SUELTO,61
SMARTCAP,61
OBSTRUIDO,58
FALLA SOLENOIDE,56
TAPA FUERA DE AJUSTE,55
ROTO,55
FALLA FOCOS,54
FALLA DE COMUNICACION,54
SEPARACION MECANICA,53
COMPONENTE FALTATE,52
PRE PM,50
ELEMENTO INCRUSTADO,49
PM18D,48
FALLA INSTRUMENTACION,48
FALLA PEDAL ACELERADOR,46
ROTACION,45
SIN AIRE,45
FALLA LINK,44
CONTACTO DEFICIENTE,43
FALLA CONEXION,42
FISURADO,41
SIN LUBRICACION,41
FALLA SENSOR TURBO,40
RETORQUE,40
SIN PERNO,40
REVENTADO,40
BK-REPARACION,37
AIREACION,37
FALLA CABLEADO,35
GOLPE,34
CONTAMINACION,34
FALLA SOPORTE,33
FALLA VARILLA TOLVA,32
PM36D,32
QUEMADO,30
ACC-ROTURA,29
PM DI 300,29
SOBRE NIVEL,29
FALLA MOTOR RAX,29
FALLA COMUNICACIÓN,28
IMPREVISTOS POST PM,28
NIVELACION,28
CORTE PASADOR,28
BK-MONCON,27
CORTE CORREA,27
TRASPASO COMPRESION,26
FALLA CHAPA,25
FALLA RELAY,25
CABLEADO INCORRECTO,25
SIN CARGA,24
PM28D,24
FALLA SELECTOR MARCHA,24
PM72D,24
PM-LA NEGRA,23
ACTIVACION INVOLUNTARIA,22
FALLA ACCESORIO,22
PM14D,22
MOTOR VENTILADO,21
PM PASO 04,21
FALLA RETARDO,21
DEFORMADO,21
PM288D,20
ROCE,20
ALTO VOLTAJE,19
ECAS,19
BK-CAMBIO,18
BAJO FLUJO,18
PM-MEMS,18
FALLA PEDAL FRENO,18
PM 300 HRS,17
SEPARACION TERMICA,17
FALLA PALANCA RETARDO,16
FALLA PALANCA LEVANTE,16
FALLA SENSOR DE VELOCIDAD,15
DILUSION,14
ATASCADO,14
PM 600 HRS,14
SIN PROPULSION,13
FALLA LINEA,13
DESMONTADO,13
PM PASO 02,12
SOLTURA DE PERNO,12
VIBRACION EXCESIVA,12
TEMPERATURA IRREGULAR,12
FALLA CAJA REGULADORA,11
FALLA SENSOR ESCAPE,11
PM PASO 03,11
FALLA MEMS,11
MODULAR,11
DESBALANCEADO,11
AGRIPADO,10
LINK DESPLAZADOS,10
SIN CAUSA DEFINDA,10
PM PASO 01,10
FUERA DE POSICION,10
FALLA BUJE,9
OP-DETENCION,9
PM56D,9
FALLA FAN,9
PM144D,9
FALLA PDA,9
LINEA A TIERRA,9
PERDIDA DE ALIMENTACIÓN,9
FALLA TROCHA,9
RUIDO,8
RIGIDA,8
FALLA SOPORTE PANTALLA,8
FALLA SINCRONIZACION,8
FALLA MANGUERA,8
PM 1200 HRS,8
PLAN-VARIABILIDAD,8
MOTOR SE DETIENE,8
PM-CALIBRACION,7
DESAJUSTE,7
OP-SOBRECARGA,7
FALLA DISTRIBUCION,7
FALTANTE,7
DESBLOQUEO,7
FUGA ACOPLE,7
FALLA DE MONTAJE,7
FALLA ROTULA,7
INTERVENCION DE TERCEROS,7
FALLA FUSIBLE,7
PROTUBERANCIA,7
PM,7
FALLA SEGURO,7
AMAGO DE INCENDIO,7
OP-APOYO TRASLADO,7
PM 4800 HRS,6
SIN ACCESO,6
ACC-CAMBIO,6
CIRCUITO CON AIRE,6
SULFATADO,6
RETORQUEO,6
SULFATACION,6
FALLA BREAKER,6
BAJA TEMPERATURA,6
PM-REPARACION,6
SIN MOVIMIENTO,5
FALLA ANTENA,5
DESPLAZADO,5
PM PASO 07,5
ATENCION LUBRICADOR,5
JUEGO PASADOR,5
ALTA VELOCIDAD,5
PASADOR DESPLAZADO,5
DETERIORADO,5
DESALINEADO,5
LTE,5
FALTA EXTINTOR,5
DESACTUALIZADO,5
FALLA FITTING,5
PM 2400 HRS,5
PM 1000 HRS,4
NO LEVANTA TOLVA,4
FUERA DE RANGO,4
BAJA VELOCIDAD DE ACTUACION,4
FALLA ANCLAJE,4
FALLA DE ANCLAJE,4
BLOQUEO,4
FUGA BOMBA,4
SPOTS DESGASTADOS,4
PM112D,4
SIN VARILLA,4
FALLA SLACK,4
CORTO A TIERRA,4
ASILAMIENTO DEFICIENTE,4
DESACOPLADO,4
ACC-VOLCAMIENTO,4
FILTRO FALTANTE,4
SIN MARCHA,3
FALLA VALVULA DE CARGA,3
PEGADO,3
LUCES,3
ALIMENTACION,3
PM224D,3
PM244D,3
FUNDIDO,3
PM PASO 06,3
ALOJAMIENTO DEFORMADO,3
FALLA SELLO ESPEJO,3
BLOQUEO ,3
FALLA EJE,3
PM PASO 05,3
PM 250 HRS,3
SIN CAUSA DEFINIDA,3
PM PASO 08,3
DESARMADO,3
APRETADO,3
DOBLADO,2
FALLA JUNTA CARDANICA,2
FALLA VOLANTE,2
PERNO DESGASTADO,2
PIVOTE SIN LUBRICAR,2
INSTALACION,2
ERICAR,2
ROTURA SOPORTE,2
ESTALLADO,2
ACC-REPARACION,2
FUGA FILTRO ONBOARD,2
MOTOR NO SE DETIENE,2
BAJA EFICIENCIA,2
SISTEMA MONITOREO,2
SIN ATENCION,2
FUGA VALVULA DE CARGA,2
FALLA A TIERRA,2
SIN INFORMACION,2
FALLA TENSORES,2
FALLA ROP,2
GPS,2
ERROR DE CONFIGURACIÓN,2
PM                                 ,2
EXCESO DE HUMO,2
OP-OPERACIONAL EXTERNO,1
PM P4 TEST,1
FATIGA,1
ACEITE DEGRADADO,1
PERDIDA DE LUBRICACIÓN,1
FALLA TANQUE EXPANSION,1
bajo nivel,1
REGIMEN DE MOTOR ALTO,1
FALLA CORREA,1
MID-LIFE,1
CORTE VALVULA,1
IMPACTO,1
FALLA LLAVE CONTACTO,1
BAJO APORTE,1
VENTILADOR,1
SMARTCAP INSUMOS,1
DESGASTE CAMISA PASADOR,1
PM144D                  ,1
PM 2500 HRS,1
PM 500 HRS,1
problema en radio comunicacio ,1
PM P3 TEST,1
FALLA POLEA,1
FALLA LEVANTE,1
TRASPASO ,1
FALLA EN PROGRAMA,1
MEMS,1
FALLA SISTEMA,1
PM 50 HRS,1
ROTURA ALABE,1
PM54D,1
FUGA COMPRESION,1
FALLA TAPA,1
MAL IMPUTADA,1
PM18D                      ,1
FALLA ESPARRAGOS,1
FALLA SEÑAL,1
NO ACTIVA,1
OPERACIONAL EXTERNO,1
                              ,1
PLAN MSO,1
PM P1 TEST,1
CAMBIO,1
FALLA PEDAL RETARDO,1
