unique_values,counts
MAQUINA,8949
MOTOR,6399
NEUMATICOS_Y_AROS,3353
TREN_DE_FUERZA,3184
FRENOS,2581
DIRECCION,2308
NEUMATICOS,1275
LEVANTE,1172
TREN_DE_POTENCIA,664
TECNOLOGIA,494
PM,333
ACCIDENTE,236
PM                                 ,134
MOTOR_980E,44
                                   ,37
EXTENSION PM,18
INSTRUMENTOS_Y_SISTEMAS_ELECTRICOS,18
ESTRUCTURA_Y_CHASIS,16
CABINA_Y_PLATAFORMA,14
SISTEMA_DE_PROPULSION,14
SISTEMA_DIRECCION_Y_FRENOS,12
SISTEMA_HIDRAULICO_LEVANTE,6
MAZA_SUSPENSION_DELANTERA,4
SISTEMAS_DE_SEGURIDAD,4
SISTEMA_24V,2
Motor,2
Motor                              ,2
S/I,2
SISTEMA_LUBRICACION_(GRASA),1
Neumaticos y Aros                  ,1
SISTEMA_CONTRA_INCENDIO,1
